period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,3.08,0.00,0.0000,9775153,1845541264,130473177,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,75.75,0.00,0.0000,854358781,195690463832769,392377159380,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.41,0.00,0.0000,15018499,8835546,11433944,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,0.74,0.00,0.0000,8190065,195145320826,1240170883,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,421.62,0.00,0.0000,210994421,209192199,205346421,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,5639.65,0.00,0.0000,61932346638,1224982010379201280,264306219490880,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,23490.90,0.00,0.0000,10992675458,12508518920,23444183611,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,615.31,0.00,0.0000,6926464192,59010914958413856768,615520619297008,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0.00,0.00,0.0000,7605,140,1005,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,0.00,0.00,0.0000,97886832,24672744,47616649,0
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,0.00,0.00,0.0000,822352420,451650948,602118214,0
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0.00,0.00,0.0000,1019,982,1000,0
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,220.58,0.00,0.0000,170242,168478,154552,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,1106.06,0.00,0.0000,12370604750,4172187950,7142199009,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,2362.26,0.00,0.0000,29128983861,1142269218,5494951261,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,3544.45,0.00,0.0000,1950677345,1712811135,1807954599,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,378.77,0.00,0.0000,180111150357,4242678953,27035837097,6
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0.02,0.00,0.0000,6125,4159,5041,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,63.54,0.00,0.0000,1821864,12534359891799810,150548229107,3
6-day-avg,2026-07-20,2026-07-25,6,6,false,skeletonswap,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,0.00,0.00,0.0000,21100925265,191140285,1976621377,0
