date,time,pool_id,pool_address,tvl_usd,volume_24h_usd,volume_7d_usd,apr_7d,reserve_0,reserve_1,total_share
2026-01-09,06:37:21,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,2.84,0,0,0,14437631,696215017,98766928
2026-01-09,06:37:21,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,14.1,0,0,0,153541578,1666729235,440091012
2026-01-09,06:37:21,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,173.58,0,2.51,0.2256,949185649,86436032,91975901
2026-01-09,06:37:21,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,11293.38,0,,,123013494154,9671655353,33101209401
2026-01-09,06:37:21,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,874.14,0,57.36,1.0237,4765766717,83802401482567721354,615519759557113
2026-01-09,06:37:21,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,64.89,0,,,706846627,235530582696423,392372158617
2026-01-09,06:37:21,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,52.83,,,,575479934,50057874,163695513
2026-01-09,06:37:21,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.38,0,0,0,15026283,8816515,11433944
2026-01-09,06:37:21,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,1.79,0,0,0,8909232,175553171796,1240170883
2026-01-09,06:37:21,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,117818.28,656.25,21065.51,2.7892,641292024497,58954201088,169617070834
2026-01-09,06:37:21,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,7661.62,0,472.63,0.9623,41768073747,3831923621,11595780907
2026-01-09,06:37:21,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0,0,0,0,7605,140,1005
2026-01-09,06:37:21,"LUNA-WHALE",terra1zushwxgqdkg22mtv9p946yp53r6den6lv427esjaadua3ftzyjpsqgtl5z,507.75,0,18.68,0.5739,3136604083,2724873284458,1780727094
2026-01-09,06:37:21,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,9.96,0,,,108512893,22233822,47616649
2026-01-09,06:37:21,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,31845.21,0,1807.35,0.8854,174333087944,4154462838809026694,821996741166216
2026-01-09,06:37:21,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0,0,0,0,185940140998,305295955713,234517569467
2026-01-09,06:37:21,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0,0,0,0,1019,982,1000
2026-01-09,06:37:21,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,2109.67,0,,,2110037407,1798805780,1928629879
2026-01-09,06:37:21,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,216.34,0,1.37,0.0988,216378603,203341417,205345712
2026-01-09,06:37:21,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,112677.99,0,234.1,0.0324,55206945449,57553735160,112510450210
2026-01-09,06:37:21,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.65,0,0,0,438,2763396,28010
2026-01-09,06:37:21,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,31097.59,57.69,2593.76,1.3012,17111979,169367634026,1573198265
2026-01-09,06:37:21,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,83023.16,0,168,0.0316,46048164,45322634,41787488
2026-01-09,06:37:21,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,61.5,0,0,0,1987324,16130837514288321,178388360888
2026-01-09,06:37:21,"WHALE-axlUSDC",terra1qdu4g5zxxtmwsd95v8vjslq5874nkcull7ejycm0gy2v7p5qc67qenkf8t,544.11,0,9.12,0.2615,2940181726091,306955003,7113230154
2026-01-09,06:37:21,"WHALE-ROAR",terra1g8clplgv3ah405qjrf9yhkgur9zqlqayt8ftrvkuzsm5am7pr9ls7s26rx,545.91,0,,,6768043713608,2603307214387158,123272145524513
2026-01-09,06:37:21,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,17.74,0,0,0,20876591748,193191107,1976621377
